property,value,unit,cmp_ids,cmp_mole_fractions
Enthalpy of mixing,0.0631879805731714,kJ/mol,"[76.0, 44.0, 50.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.9233916391590784,kJ/mol,"[13.0, 53.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.3418425198470598,kJ/mol,"[29.0, 6.0, 64.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.8543825013916158,kJ/mol,"[28.0, 48.0, 47.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.1518803833212284,kJ/mol,"[74.0, 77.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.4715825620978919,kJ/mol,"[51.0, 28.0, 48.0, 38.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.3048919848687188,kJ/mol,"[12.0, 29.0, 6.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.9545228600023083,kJ/mol,"[6.0, 18.0, 54.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.7957664241662725,kJ/mol,"[12.0, 79.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-4.110714219963605,kJ/mol,"[65.0, 31.0]","[0.4, 0.6]"
Enthalpy of mixing,1.2968156976377463,kJ/mol,"[12.0, 48.0, 3.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0455470872820614,kJ/mol,"[12.0, 72.0, 67.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.2702159707085474,kJ/mol,"[35.0, 14.0, 53.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.3705181361720432,kJ/mol,"[45.0, 28.0, 6.0, 74.0, 5.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.8871537716608532,kJ/mol,"[6.0, 72.0, 54.0, 21.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.310391799731001,kJ/mol,"[35.0, 48.0, 64.0, 8.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0165795145150703,kJ/mol,"[48.0, 14.0, 64.0, 8.0, 27.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5301167080908692,kJ/mol,"[12.0, 14.0, 34.0, 38.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5160980183260849,kJ/mol,"[76.0, 66.0]","[0.6, 0.4]"
Enthalpy of mixing,0.2577841835266017,kJ/mol,"[12.0, 58.0, 38.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.2568972696994685,kJ/mol,"[75.0, 12.0, 35.0, 48.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.2365588044068551,kJ/mol,"[12.0, 72.0, 3.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.5635780240415952,kJ/mol,"[76.0, 19.0, 53.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.1040129280197432,kJ/mol,"[12.0, 70.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0378973828166493,kJ/mol,"[25.0, 48.0, 6.0, 38.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.4555507642182948,kJ/mol,"[18.0, 74.0]","[0.2, 0.8]"
Enthalpy of mixing,0.3744242908513754,kJ/mol,"[6.0, 72.0, 37.0, 38.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5956191602577093,kJ/mol,"[55.0, 38.0]","[0.4, 0.6]"
Enthalpy of mixing,0.2228960022144158,kJ/mol,"[79.0, 48.0, 72.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.2038257483917012,kJ/mol,"[76.0, 50.0, 53.0, 56.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-1.558168417595255,kJ/mol,"[4.0, 6.0, 54.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-1.297656104109289,kJ/mol,"[43.0, 21.0]","[0.6, 0.4]"
Enthalpy of mixing,1.1200605950620144,kJ/mol,"[48.0, 6.0, 19.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.3744169140409193,kJ/mol,"[45.0, 74.0, 21.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-1.302513164063731,kJ/mol,"[42.0, 54.0, 31.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.0443703099060026,kJ/mol,"[4.0, 48.0, 6.0, 39.0, 54.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.0613899520232242,kJ/mol,"[6.0, 38.0, 24.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4779126645558832,kJ/mol,"[28.0, 6.0, 74.0, 38.0, 67.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.4877854184709616,kJ/mol,"[48.0, 19.0, 64.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.5733022143617847,kJ/mol,"[12.0, 6.0, 3.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3514925159686678,kJ/mol,"[51.0, 28.0, 6.0, 74.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3877308871025646,kJ/mol,"[45.0, 48.0, 6.0, 5.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.7795873013335703,kJ/mol,"[38.0, 61.0, 54.0, 21.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0177681704672037,kJ/mol,"[28.0, 48.0, 6.0, 71.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.6391568978946092,kJ/mol,"[28.0, 26.0, 21.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.5034957217604926,kJ/mol,"[28.0, 48.0, 6.0, 66.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.0581773352317028,kJ/mol,"[12.0, 35.0, 50.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.6641850680120477,kJ/mol,"[12.0, 13.0, 38.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.0878604614770037,kJ/mol,"[13.0, 64.0, 72.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,1.9056503832187992,kJ/mol,"[12.0, 19.0, 73.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.9925132927295672,kJ/mol,"[75.0, 76.0, 12.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.1869635020765513,kJ/mol,"[75.0, 38.0, 73.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.2782315595091915,kJ/mol,"[6.0, 5.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.4510098737071032,kJ/mol,"[28.0, 61.0]","[0.8, 0.2]"
Enthalpy of mixing,0.7299764251393045,kJ/mol,"[12.0, 2.0, 72.0, 53.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.3743798473151467,kJ/mol,"[64.0, 67.0, 53.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.1729593909155316,kJ/mol,"[4.0, 74.0, 61.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-2.1626636993619104,kJ/mol,"[6.0, 42.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.3710231061850631,kJ/mol,"[76.0, 50.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.2863405813869937,kJ/mol,"[11.0, 41.0, 53.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.0262855356033593,kJ/mol,"[48.0, 6.0, 17.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-1.4578558150028809,kJ/mol,"[4.0, 72.0, 74.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.8845946474064895,kJ/mol,"[12.0, 2.0, 64.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.9820780629380383,kJ/mol,"[15.0, 48.0, 74.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.7830291864632082,kJ/mol,"[35.0, 64.0, 72.0, 27.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.1219418542583606,kJ/mol,"[75.0, 48.0, 19.0, 50.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5011671088648096,kJ/mol,"[48.0, 64.0, 34.0, 38.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.2478868651695857,kJ/mol,"[11.0, 34.0]","[0.6, 0.4]"
Enthalpy of mixing,-0.6980035335240934,kJ/mol,"[48.0, 55.0, 21.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.116033545184696,kJ/mol,"[63.0, 53.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.730387326766594,kJ/mol,"[63.0, 60.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-5.084290471211468,kJ/mol,"[75.0, 39.0, 73.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.7667072393612414,kJ/mol,"[2.0, 38.0, 50.0, 73.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3734872008458296,kJ/mol,"[48.0, 6.0, 64.0, 34.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.5747030234634664,kJ/mol,"[11.0, 6.0, 72.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0757713242573333,kJ/mol,"[28.0, 48.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.3831484738987443,kJ/mol,"[72.0, 80.0, 38.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0444872525765316,kJ/mol,"[3.0, 60.0]","[0.8, 0.2]"
Enthalpy of mixing,0.238804953322382,kJ/mol,"[48.0, 74.0, 5.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.1967299302288601,kJ/mol,"[12.0, 72.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.726279041343951,kJ/mol,"[45.0, 71.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.1794230731744055,kJ/mol,"[48.0, 6.0, 74.0, 31.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.4871027241511529,kJ/mol,"[36.0, 28.0, 48.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.6398655799617035,kJ/mol,"[12.0, 13.0, 14.0, 72.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.6567808394185205,kJ/mol,"[75.0, 76.0, 2.0, 48.0, 38.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.2993819800231647,kJ/mol,"[6.0, 77.0]","[0.4, 0.6]"
Enthalpy of mixing,0.2255105134148984,kJ/mol,"[48.0, 63.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.2264377541376404,kJ/mol,"[75.0, 76.0, 19.0, 73.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.8004525433223804,kJ/mol,"[49.0, 21.0]","[0.6, 0.4]"
Enthalpy of mixing,-1.715781683433268,kJ/mol,"[28.0, 65.0, 74.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.5855330403062369,kJ/mol,"[14.0, 72.0, 53.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3618782180715907,kJ/mol,"[6.0, 74.0, 77.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.5220086140389667,kJ/mol,"[48.0, 38.0, 5.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.6308451095236086,kJ/mol,"[45.0, 48.0, 59.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.5770653300458924,kJ/mol,"[76.0, 11.0, 48.0, 44.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3378081337327918,kJ/mol,"[28.0, 74.0]","[0.5, 0.5]"
Enthalpy of mixing,0.2446782850036049,kJ/mol,"[48.0, 14.0, 44.0, 72.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.8954378656397213,kJ/mol,"[35.0, 14.0, 27.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4088113971051734,kJ/mol,"[12.0, 19.0, 8.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.643420664282275,kJ/mol,"[64.0, 8.0, 23.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.6315644731025974,kJ/mol,"[35.0, 60.0, 23.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.1188712592162321,kJ/mol,"[14.0, 19.0, 64.0, 38.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.1807889218270209,kJ/mol,"[48.0, 70.0, 72.0, 38.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.182554599652731,kJ/mol,"[75.0, 12.0, 73.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.7390599232561,kJ/mol,"[12.0, 73.0]","[0.2, 0.8]"
Enthalpy of mixing,-0.2669883281481122,kJ/mol,"[28.0, 48.0, 6.0, 18.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.8507501585948523,kJ/mol,"[6.0, 38.0, 7.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.4082952072691375,kJ/mol,"[44.0, 8.0, 27.0]","[0.2, 0.6, 0.2]"
